Day,Hour,Base_Load_W
1,1,2270.4
1,2,2131.4
1,3,2075.0
1,4,2057.1
1,5,2058.6
1,6,2125.4
1,7,2442.9
1,8,2727.1
1,9,2632.2
1,10,2563.9
1,11,2513.2
1,12,2407.7
1,13,2436.9
1,14,2415.3
1,15,2460.0
1,16,2594.9
1,17,2920.9
1,18,3118.6
1,19,3099.6
1,20,3035.8
1,21,3018.9
1,22,2994.2
1,23,2825.4
1,24,2403.7
2,1,2135.7
2,2,2015.4
2,3,1958.1
2,4,1959.6
2,5,1965.2
2,6,2065.8
2,7,2428.1
2,8,2633.8
2,9,2587.9
2,10,2491.4
2,11,2378.7
2,12,2353.8
2,13,2300.4
2,14,2309.2
2,15,2466.0
2,16,2636.9
2,17,2959.1
2,18,3130.0
2,19,3087.6
2,20,2989.6
2,21,3001.2
2,22,2950.2
2,23,2748.6
2,24,2381.2
3,1,2082.3
3,2,1905.0
3,3,1877.0
3,4,1856.2
3,5,1864.0
3,6,1945.3
3,7,2204.2
3,8,2542.6
3,9,2463.2
3,10,2348.7
3,11,2272.8
3,12,2175.7
3,13,2170.7
3,14,2170.4
3,15,2280.9
3,16,2431.9
3,17,2777.3
3,18,3014.0
3,19,2988.6
3,20,2871.5
3,21,2954.3
3,22,2870.8
3,23,2744.3
3,24,2462.1
4,1,2185.2
4,2,2068.0
4,3,2039.8
4,4,2000.0
4,5,2036.7
4,6,2128.4
4,7,2452.7
4,8,2751.2
4,9,2673.4
4,10,2542.1
4,11,2537.3
4,12,2458.2
4,13,2410.9
4,14,2405.1
4,15,2516.0
4,16,2740.2
4,17,2944.4
4,18,3248.5
4,19,3199.2
4,20,3138.5
4,21,3114.7
4,22,3074.8
4,23,2936.0
4,24,2597.2
5,1,2373.6
5,2,2221.6
5,3,2148.4
5,4,2114.6
5,5,2156.5
5,6,2249.5
5,7,2581.0
5,8,2892.6
5,9,2869.3
5,10,2822.6
5,11,2679.0
5,12,2633.9
5,13,2552.1
5,14,2499.7
5,15,2606.1
5,16,2733.7
5,17,2963.2
5,18,3144.1
5,19,3308.9
5,20,3227.5
5,21,3178.0
5,22,3069.2
5,23,2938.0
5,24,2734.5
6,1,2506.8
6,2,2380.8
6,3,2334.1
6,4,2321.3
6,5,2305.6
6,6,2342.6
6,7,2414.9
6,8,2525.8
6,9,2710.8
6,10,2882.2
6,11,3021.4
6,12,3009.5
6,13,3016.9
6,14,3024.3
6,15,2926.6
6,16,2984.9
6,17,3038.7
6,18,3059.5
6,19,3042.1
6,20,3058.2
6,21,2866.3
6,22,2659.1
6,23,2464.1
6,24,2329.9
7,1,2136.5
7,2,2020.2
7,3,1997.6
7,4,1965.6
7,5,1961.9
7,6,2026.4
7,7,2107.8
7,8,2174.9
7,9,2337.5
7,10,2620.7
7,11,2740.5
7,12,2780.0
7,13,2688.6
7,14,2592.7
7,15,2603.5
7,16,2757.1
7,17,3099.4
7,18,3117.0
7,19,3136.2
7,20,3108.8
7,21,3132.2
7,22,2956.4
7,23,2829.8
7,24,2510.4
8,1,2299.5
8,2,2181.0
8,3,2122.2
8,4,2167.2
8,5,2197.6
8,6,2300.1
8,7,2612.9
8,8,2974.0
8,9,2876.3
8,10,2745.2
8,11,2632.8
8,12,2546.2
8,13,2499.1
8,14,2445.2
8,15,2502.8
8,16,2685.1
8,17,3101.1
8,18,3216.5
8,19,3170.2
8,20,3237.1
8,21,3154.9
8,22,3147.9
8,23,2883.3
8,24,2578.8
9,1,2314.3
9,2,2198.3
9,3,2143.4
9,4,2130.3
9,5,2128.6
9,6,2200.0
9,7,2522.3
9,8,2743.5
9,9,2678.5
9,10,2525.2
9,11,2460.9
9,12,2429.8
9,13,2351.3
9,14,2346.4
9,15,2389.0
9,16,2498.1
9,17,2804.6
9,18,3065.0
9,19,3071.0
9,20,3065.1
9,21,3059.4
9,22,3024.0
9,23,2836.6
9,24,2537.2
10,1,2240.0
10,2,2098.1
10,3,2045.6
10,4,2081.1
10,5,2056.6
10,6,2157.6
10,7,2436.8
10,8,2711.9
10,9,2620.1
10,10,2516.4
10,11,2466.4
10,12,2317.2
